Unnamed: 0,ATL,PHI
First Downs,14,22
Rush-Yds-TDs,26-99-1,33-156-1
Cmp-Att-Yd-TD-INT,11-24-136-0-1,18-27-183-2-0
Sacked-Yards,4-33,2-13
Net Pass Yards,103,170
Total Yards,202,326
Fumbles-Lost,1-0,2-0
Turnovers,1,0
Penalties-Yards,5-24,6-59
Third Down Conv.,2-11,7-14
Fourth Down Conv.,2-3,0-1
Time of Possession,26:45,33:15
